Dataset,Model,CV_RMSE,CV_R^2
FPT,Linear Regression,0.6445932301160925,0.9997240716628552
FPT,Ridge Regression,0.6455297724038591,0.9997223569970973
FPT,Lasso Regression,0.7335244989322023,0.9995388922479268
FPT,Random Forest Regressor,0.7961351573822462,0.9993476656323825
FPT,XGBoost Regressor,0.7669939689344677,0.9994363387477879
HPG,Linear Regression,0.39494688321442795,0.999616491289854
HPG,Ridge Regression,0.3954603859792994,0.9996152842304411
HPG,Lasso Regression,0.43948882346750984,0.9994105008842833
HPG,Random Forest Regressor,0.48146647745676396,0.9991403287534956
HPG,XGBoost Regressor,0.4256894698744946,0.999481237604454
VCB,Linear Regression,0.6184359426360515,0.999016025124317
VCB,Ridge Regression,0.6162399546757361,0.9990293053992371
VCB,Lasso Regression,0.636146162595771,0.9988921203735759
VCB,Random Forest Regressor,0.7627504184666274,0.9977266014746824
VCB,XGBoost Regressor,0.7211730196927909,0.9981546913684877
VIC,Linear Regression,0.76426514132925,0.9993637634320045
VIC,Ridge Regression,0.761479918910699,0.9993735124838887
VIC,Lasso Regression,0.7893428707172583,0.9992768073474906
VIC,Random Forest Regressor,0.8995843678440665,0.9987482360448418
VIC,XGBoost Regressor,0.8188599185792431,0.9991407394271711
VNM,Linear Regression,0.5569788785046274,0.9985024618872249
VNM,Ridge Regression,0.5547103258723989,0.9985265581134456
VNM,Lasso Regression,0.559637096441097,0.9984674474416508
VNM,Random Forest Regressor,0.7123230023035613,0.9959749531934252
VNM,XGBoost Regressor,0.6853291423994994,0.9965512330363809
